BioGRID ID Interactor A,BioGRID ID Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Experimental System
31542,32899,MCM5,MCM7,Two-hybrid
32899,31542,MCM7,MCM5,Two-hybrid
31542,36697,MCM5,MCM3,Two-hybrid
36697,31542,MCM3,MCM5,Two-hybrid
32899,31376,MCM7,CDC45,Two-hybrid
32899,32899,MCM7,MCM7,Two-hybrid
32899,36697,MCM7,MCM3,Two-hybrid
36697,32899,MCM3,MCM7,Two-hybrid
31542,32899,MCM5,MCM7,Affinity Capture-Western
31542,36697,MCM5,MCM3,Dosage Rescue
32899,36697,MCM7,MCM3,Dosage Rescue
34611,31315,RUD3,RIC1,Synthetic Lethality
107067,108403,CCND1,ESR1,Affinity Capture-Western
107140,108403,BRCA1,ESR1,Affinity Capture-Western
108403,107140,ESR1,BRCA1,Reconstituted Complex
108403,107067,ESR1,CCND1,Reconstituted Complex
32899,31542,MCM7,MCM5,Affinity Capture-Western
31542,36697,MCM5,MCM3,Affinity Capture-Western
36697,31542,MCM3,MCM5,Affinity Capture-Western
107777,109869,CREBBP,IRF3,Affinity Capture-Western
109869,107777,IRF3,CREBBP,Affinity Capture-Western
31853,34611,ARF1,RUD3,Reconstituted Complex
121864,121864,ACE2,ACE2,Co-crystal Structure
109869,109869,IRF3,IRF3,Affinity Capture-Western
113039,121570,TRAF3,MAVS,Affinity Capture-Western
121570,130988,MAVS,TMEM173,Affinity Capture-Western
113039,130988,TRAF3,TMEM173,Affinity Capture-Western
113039,118878,TRAF3,TBK1,Affinity Capture-Western
130988,118878,TMEM173,TBK1,Affinity Capture-Western
130988,109869,TMEM173,IRF3,Affinity Capture-Western
117121,113500,DDX58,TRIM25,Affinity Capture-Western
117121,113500,DDX58,TRIM25,Co-localization
117406,107267,RCHY1,CAMK2D,Affinity Capture-Western
122783,114166,RPAP3,RUVBL1,Affinity Capture-MS
122783,116067,RPAP3,RUVBL2,Affinity Capture-MS
122783,125479,RPAP3,WDR92,Affinity Capture-MS
122783,114264,RPAP3,URI1,Affinity Capture-MS
122783,123533,RPAP3,PDRG1,Affinity Capture-MS
122783,115734,RPAP3,PFDN6,Affinity Capture-MS
122783,111224,RPAP3,PFDN2,Affinity Capture-MS
122783,113997,RPAP3,UXT,Affinity Capture-MS
122783,111430,RPAP3,POLR2E,Affinity Capture-MS
114264,113997,URI1,UXT,Affinity Capture-MS
114264,115734,URI1,PFDN6,Affinity Capture-MS
114264,111430,URI1,POLR2E,Affinity Capture-MS
114264,123533,URI1,PDRG1,Affinity Capture-MS
114264,111224,URI1,PFDN2,Affinity Capture-MS
114264,125479,URI1,WDR92,Affinity Capture-MS
114264,120343,URI1,PIH1D1,Affinity Capture-MS
114264,114166,URI1,RUVBL1,Affinity Capture-MS
114264,116067,URI1,RUVBL2,Affinity Capture-MS
114264,122783,URI1,RPAP3,Affinity Capture-MS
111493,111430,PPP1CA,POLR2E,Affinity Capture-MS
111493,114166,PPP1CA,RUVBL1,Affinity Capture-MS
111493,123533,PPP1CA,PDRG1,Affinity Capture-MS
111493,111224,PPP1CA,PFDN2,Affinity Capture-MS
111493,115734,PPP1CA,PFDN6,Affinity Capture-MS
111493,120343,PPP1CA,PIH1D1,Affinity Capture-MS
111493,125479,PPP1CA,WDR92,Affinity Capture-MS
111493,114264,PPP1CA,URI1,Affinity Capture-MS
120343,123533,PIH1D1,PDRG1,Proximity Label-MS
120343,111224,PIH1D1,PFDN2,Proximity Label-MS
120343,115734,PIH1D1,PFDN6,Proximity Label-MS
120343,111430,PIH1D1,POLR2E,Proximity Label-MS
120343,122783,PIH1D1,RPAP3,Proximity Label-MS
120343,114166,PIH1D1,RUVBL1,Proximity Label-MS
120343,116067,PIH1D1,RUVBL2,Proximity Label-MS
120343,114264,PIH1D1,URI1,Proximity Label-MS
120343,113997,PIH1D1,UXT,Proximity Label-MS
120343,125479,PIH1D1,WDR92,Proximity Label-MS
113997,123533,UXT,PDRG1,Proximity Label-MS
113997,111224,UXT,PFDN2,Proximity Label-MS
113997,115734,UXT,PFDN6,Proximity Label-MS
113997,120343,UXT,PIH1D1,Proximity Label-MS
113997,111430,UXT,POLR2E,Proximity Label-MS
113997,122783,UXT,RPAP3,Proximity Label-MS
113997,114166,UXT,RUVBL1,Proximity Label-MS
113997,116067,UXT,RUVBL2,Proximity Label-MS
113997,114264,UXT,URI1,Proximity Label-MS
113997,125479,UXT,WDR92,Proximity Label-MS
113041,118876,TRAF6,PYCARD,Co-localization
107777,110308,CREBBP,MAPT,Biochemical Activity
4383845,114116,E,AP3B1,Affinity Capture-MS
4383845,117036,E,BRD4,Affinity Capture-MS
4383845,111973,E,BRD2,Affinity Capture-MS
4383845,115572,E,CWC27,Affinity Capture-MS
4383845,125858,E,ZC3H18,Affinity Capture-MS
4383845,121410,E,SLC44A2,Affinity Capture-MS
4383846,114889,M,PMPCB,Affinity Capture-MS
4383846,116103,M,YIF1A,Affinity Capture-MS
4383846,106971,M,ATP1B1,Affinity Capture-MS
4383846,106552,M,ACADM,Affinity Capture-MS
4383846,108409,M,ETFA,Affinity Capture-MS
4383846,108354,M,STOM,Affinity Capture-MS
4383846,108945,M,GGCX,Affinity Capture-MS
4383846,107007,M,ATP6V1A,Affinity Capture-MS
4383846,111686,M,PSMD8,Affinity Capture-MS
4383846,113637,M,REEP5,Affinity Capture-MS
4383846,116811,M,PMPCA,Affinity Capture-MS
4383846,128218,M,ANO6,Affinity Capture-MS
4383846,115786,M,PITRM1,Affinity Capture-MS
4383846,115726,M,SLC30A9,Affinity Capture-MS
4383846,121924,M,FASTKD5,Affinity Capture-MS
4383846,127176,M,SLC30A7,Affinity Capture-MS
