Community,Protein
7,E
7,BRD4
7,BRD2
7,ZC3H18
7,SLC44A2
7,YIF1A
7,ATP1B1
7,GGCX
7,ATP6V1A
7,REEP5
7,ANO6
7,SAAL1
7,REEP6
7,TUBGCP2
7,RTN4
7,FAM8A1
7,CSNK2B
7,ZDHHC5
7,nsp4
7,TIMM10
7,ALG11
7,C19orf52
7,TIMM10B
7,TIMM9
7,nsp6
7,ATP5L
7,SIGMAR1
7,ATP13A3
7,RAB7A
7,HMOX1
7,TRIM59
7,ARL6IP6
7,CLCC1
7,ALG5
7,ORF3b
7,ORF7a
7,HEATR3
7,TOR1A
7,ITGB1
7,MFGE8
7,EMC1
7,SMOC1
7,ADAM9
7,FKBP10
7,ORF9c
7,UBXN8
7,WFS1
7,F2RL1
7,SCAP
7,DPY19L1
7,TMEM97
7,SLC30A6
7,TAPT1
7,ERMP1
7,NLRX1
7,FAM134C
7,PIGO
7,FAR2
7,ECSIT
7,ALG8
7,TMEM39B
7,NDFIP2
7,BCS1L
7,NDUFAF1
7,TMED5
7,PIGS
7,FURIN
7,nsp3
7,UBC
7,MDH1
7,RPL39
7,TAF4
7,CAAP1
7,PCCA
7,ATP7B
7,ERGIC2
7,SLC37A4
7,CAV1
7,L2HGDH
7,RUFY2
7,ATG9A
7,SLC16A4
7,ATL2
7,C2CD2
7,POMT1
7,C1orf27
7,PSEN2
7,DRAM2
7,METTL7B
7,PIGT
7,CAV2
7,EXTL2
7,SLC22A5
7,IPO13
7,SARM1
7,ARFGEF2
7,ENDOD1
7,DERL3
7,SLC18B1
7,STARD3NL
7,TYW1
7,NCAPD3
7,ARFGEF1
7,NUBP2
7,TNFAIP2
7,LMBRD2
7,INTS12
7,SGCB
7,YIF1B
7,IL31RA
7,FBXO46
7,ARSE
7,TMEM2
7,GPR89A
7,ABCB8
7,LRP12
7,CYB5A
7,EVA1C
7,EMC10
7,HMGCR
7,PTDSS2
7,TTYH3
7,UPK3B
7,ATP5E
7,CERS2
7,PEX2
7,SLC6A15
7,ATP6
7,YIPF4
7,HLA-DMB
7,LPCAT3
7,SCAMP4
7,RMND1
7,PTPLB
7,MFSD3
7,EMC4
7,EBP
7,VMP1
7,COG1
7,APOB
7,DOLK
7,SLC7A6
7,SLC19A2
7,ATP5F1
7,EMC3
7,CANT1
7,MSMO1
7,ND4
7,VKORC1L1
7,COG7
7,TLCD1
7,ATP5D
7,TMEM237
7,TGOLN2
7,GPR125
7,NRG1
7,MPZL1
7,RNF19A
7,ATP2B4
7,ACVR1B
7,DTNB
7,TMEM27
7,BMPR2
7,HMOX2
7,SEMA4C
7,EPHB2
7,MYOF
7,UBQLN1
7,FAM49B
7,ADIPOR1
7,VAMP3
7,TNFRSF10B
7,SPINT2
7,NEO1
7,PCDH9
7,MGRN1
7,EPHA2
7,TLDC1
7,STAM2
7,CRIM1
7,LRP10
7,ITM2C
7,ATP11C
7,PCDHAC2
7,NETO2
7,CD97
7,MTPN
7,TBL2
7,IFNGR1
7,CCDC115
7,SGCE
7,STEAP3
7,MOSPD2
7,TNFRSF21
7,LRRC8D
7,RAB34
7,ADAM17
7,SNAP25
7,TGFBR1
7,RELL1
7,AXL
7,SLC12A4
7,LRP8
7,BCAM
7,CD99
7,AMIGO2
7,RNF149
7,ACVR1
7,STX10
7,STX4
7,RAB5B
7,VPS45
7,PCDHA12
7,ITM2B
7,CLCN7
7,DCBLD2
7,SNX17
7,SLC23A2
7,SLC12A6
7,PTPRJ
7,ITFG3
7,BAMBI
7,SLC26A2
7,TRAPPC5
7,PCDHA4
7,MYRF
7,SLC20A1
7,CLDN12
7,PVRL3
7,LRFN1
7,OSMR
7,LRRC8A
7,SLC12A7
7,ADCY9
