Protein Virus,Protein Người,Protein Chung
E,BRD4,E
nsp4,BRD2,BRD4
nsp6,ZC3H18,BRD2
ORF3b,SLC44A2,ZC3H18
ORF7a,YIF1A,SLC44A2
ORF9c,ATP1B1,YIF1A
nsp3,GGCX,ATP1B1
ORF7b,ATP6V1A,GGCX
ORF14,REEP5,ATP6V1A
,ANO6,REEP5
,SAAL1,ANO6
,REEP6,SAAL1
,TUBGCP2,REEP6
,RTN4,TUBGCP2
,FAM8A1,RTN4
,CSNK2B,FAM8A1
,ZDHHC5,CSNK2B
,TIMM10,ZDHHC5
,ALG11,nsp4
,C19orf52,TIMM10
,TIMM10B,ALG11
,TIMM9,C19orf52
,ATP5L,TIMM10B
,SIGMAR1,TIMM9
,ATP13A3,nsp6
,RAB7A,ATP5L
,HMOX1,SIGMAR1
,TRIM59,ATP13A3
,ARL6IP6,RAB7A
,CLCC1,HMOX1
,ALG5,TRIM59
,HEATR3,ARL6IP6
,TOR1A,CLCC1
,ITGB1,ALG5
,MFGE8,ORF3b
,EMC1,ORF7a
,SMOC1,HEATR3
,ADAM9,TOR1A
,FKBP10,ITGB1
,UBXN8,MFGE8
,WFS1,EMC1
,F2RL1,SMOC1
,SCAP,ADAM9
,DPY19L1,FKBP10
,TMEM97,ORF9c
,SLC30A6,UBXN8
,TAPT1,WFS1
,ERMP1,F2RL1
,NLRX1,SCAP
,FAM134C,DPY19L1
,PIGO,TMEM97
,FAR2,SLC30A6
,ECSIT,TAPT1
,ALG8,ERMP1
,TMEM39B,NLRX1
,NDFIP2,FAM134C
,BCS1L,PIGO
,NDUFAF1,FAR2
,TMED5,ECSIT
,PIGS,ALG8
,FURIN,TMEM39B
,UBC,NDFIP2
,MDH1,BCS1L
,RPL39,NDUFAF1
,TAF4,TMED5
,CAAP1,PIGS
,PCCA,FURIN
,ATP7B,nsp3
,ERGIC2,UBC
,SLC37A4,MDH1
,CAV1,RPL39
,L2HGDH,TAF4
,RUFY2,CAAP1
,ATG9A,PCCA
,SLC16A4,ATP7B
,ATL2,ERGIC2
,C2CD2,SLC37A4
,POMT1,CAV1
,C1orf27,L2HGDH
,PSEN2,RUFY2
,DRAM2,ATG9A
,METTL7B,SLC16A4
,PIGT,ATL2
,CAV2,C2CD2
,EXTL2,POMT1
,SLC22A5,C1orf27
,IPO13,PSEN2
,SARM1,DRAM2
,ARFGEF2,METTL7B
,ENDOD1,PIGT
,DERL3,CAV2
,SLC18B1,EXTL2
,STARD3NL,SLC22A5
,TYW1,IPO13
,NCAPD3,SARM1
,ARFGEF1,ARFGEF2
,NUBP2,ENDOD1
